# x[h^-1_cMpc]  F_mean
0.000000e+00 2.233096e-01
1.562500e-01 1.926290e-01
3.125000e-01 1.701747e-01
4.687500e-01 1.537988e-01
6.250000e-01 1.411248e-01
7.812500e-01 1.305436e-01
9.375000e-01 1.214543e-01
1.093750e+00 1.134026e-01
1.250000e+00 1.055374e-01
1.406250e+00 9.869879e-02
1.562500e+00 9.308863e-02
1.718750e+00 8.751403e-02
1.875000e+00 8.266767e-02
2.031250e+00 7.700191e-02
2.187500e+00 7.194285e-02
2.343750e+00 6.699098e-02
2.500000e+00 6.267088e-02
2.656250e+00 5.990048e-02
2.812500e+00 5.675027e-02
2.968750e+00 5.387636e-02
3.125000e+00 5.196695e-02
3.281250e+00 4.951846e-02
3.437500e+00 4.697307e-02
3.593750e+00 4.434488e-02
3.750000e+00 4.205082e-02
3.906250e+00 4.048329e-02
4.062500e+00 3.903778e-02
4.218750e+00 3.742564e-02
4.375000e+00 3.548418e-02
4.531250e+00 3.401476e-02
4.687500e+00 3.229117e-02
4.843750e+00 3.026051e-02
5.000000e+00 2.868009e-02
5.156250e+00 2.680870e-02
5.312500e+00 2.489186e-02
5.468750e+00 2.299501e-02
5.625000e+00 2.157503e-02
5.781250e+00 1.993520e-02
5.937500e+00 1.867436e-02
6.093750e+00 1.793766e-02
6.250000e+00 1.689396e-02
6.406250e+00 1.616469e-02
6.562500e+00 1.561258e-02
6.718750e+00 1.497924e-02
6.875000e+00 1.433854e-02
7.031250e+00 1.353883e-02
7.187500e+00 1.307206e-02
7.343750e+00 1.271387e-02
7.500000e+00 1.225787e-02
7.656250e+00 1.161780e-02
7.812500e+00 1.109028e-02
7.968750e+00 1.044032e-02
8.125000e+00 1.000716e-02
8.281250e+00 9.598642e-03
8.437500e+00 9.167465e-03
8.593750e+00 8.735338e-03
8.750000e+00 8.285327e-03
8.906250e+00 7.816567e-03
9.062500e+00 7.259124e-03
9.218750e+00 6.713594e-03
9.375000e+00 6.150265e-03
9.531250e+00 5.659932e-03
9.687500e+00 5.273750e-03
9.843750e+00 4.988282e-03
1.000000e+01 4.739914e-03
1.015625e+01 4.490648e-03
1.031250e+01 4.245064e-03
1.046875e+01 3.875369e-03
1.062500e+01 3.387000e-03
