# x[h^-1_cMpc]  F_mean
0.000000e+00 8.768285e-01
1.562500e-01 7.969076e-01
3.125000e-01 7.285534e-01
4.687500e-01 6.641185e-01
6.250000e-01 6.053304e-01
7.812500e-01 5.522309e-01
9.375000e-01 5.053664e-01
1.093750e+00 4.628494e-01
1.250000e+00 4.238965e-01
1.406250e+00 3.868637e-01
1.562500e+00 3.545937e-01
1.718750e+00 3.259167e-01
1.875000e+00 3.005011e-01
2.031250e+00 2.771877e-01
2.187500e+00 2.540241e-01
2.343750e+00 2.329662e-01
2.500000e+00 2.138362e-01
2.656250e+00 1.973843e-01
2.812500e+00 1.821802e-01
2.968750e+00 1.682875e-01
3.125000e+00 1.562327e-01
3.281250e+00 1.449157e-01
3.437500e+00 1.336727e-01
3.593750e+00 1.227406e-01
3.750000e+00 1.139526e-01
3.906250e+00 1.057751e-01
4.062500e+00 9.709580e-02
4.218750e+00 8.917897e-02
4.375000e+00 8.222124e-02
4.531250e+00 7.636015e-02
4.687500e+00 7.067143e-02
4.843750e+00 6.579232e-02
5.000000e+00 6.113331e-02
5.156250e+00 5.658194e-02
5.312500e+00 5.243836e-02
5.468750e+00 4.888781e-02
5.625000e+00 4.571524e-02
5.781250e+00 4.218644e-02
5.937500e+00 3.904985e-02
6.093750e+00 3.639068e-02
6.250000e+00 3.393887e-02
6.406250e+00 3.170630e-02
6.562500e+00 2.966215e-02
6.718750e+00 2.774915e-02
6.875000e+00 2.605627e-02
7.031250e+00 2.445656e-02
7.187500e+00 2.287018e-02
7.343750e+00 2.137166e-02
7.500000e+00 2.004921e-02
7.656250e+00 1.856800e-02
7.812500e+00 1.717092e-02
7.968750e+00 1.601516e-02
8.125000e+00 1.484166e-02
8.281250e+00 1.384966e-02
8.437500e+00 1.290050e-02
8.593750e+00 1.194150e-02
8.750000e+00 1.087043e-02
8.906250e+00 9.973964e-03
9.062500e+00 9.158332e-03
9.218750e+00 8.460846e-03
9.375000e+00 7.776041e-03
9.531250e+00 7.212996e-03
9.687500e+00 6.754978e-03
9.843750e+00 6.167163e-03
1.000000e+01 5.708963e-03
1.015625e+01 5.323592e-03
1.031250e+01 4.923561e-03
1.046875e+01 4.576932e-03
1.062500e+01 4.262263e-03
1.078125e+01 3.930699e-03
1.093750e+01 3.605586e-03
1.109375e+01 3.270740e-03
1.125000e+01 3.047756e-03
1.140625e+01 2.846601e-03
1.156250e+01 2.648496e-03
1.171875e+01 2.468653e-03
1.187500e+01 2.282769e-03
1.203125e+01 2.103195e-03
1.218750e+01 1.855826e-03
1.234375e+01 1.686243e-03
1.250000e+01 1.529112e-03
1.265625e+01 1.350413e-03
1.281250e+01 1.243550e-03
1.296875e+01 1.151912e-03
1.312500e+01 1.021272e-03
1.328125e+01 9.518919e-04
1.343750e+01 8.968863e-04
1.359375e+01 8.230643e-04
1.375000e+01 7.583619e-04
1.390625e+01 6.976816e-04
1.406250e+01 6.341016e-04
1.421875e+01 5.687207e-04
1.437500e+01 5.239791e-04
1.453125e+01 4.650481e-04
1.468750e+01 4.229323e-04
1.484375e+01 3.797065e-04
1.500000e+01 3.379772e-04
1.515625e+01 3.151969e-04
1.531250e+01 2.868893e-04
1.546875e+01 2.619678e-04
1.562500e+01 2.420831e-04
1.578125e+01 2.244229e-04
1.593750e+01 2.012551e-04
1.609375e+01 1.853587e-04
1.625000e+01 1.667286e-04
1.640625e+01 1.531607e-04
1.656250e+01 1.380652e-04
1.671875e+01 1.242958e-04
1.687500e+01 1.110797e-04
1.703125e+01 9.968194e-05
1.718750e+01 9.173006e-05
1.734375e+01 8.394159e-05
1.750000e+01 7.597886e-05
1.765625e+01 6.997946e-05
1.781250e+01 6.548276e-05
1.796875e+01 6.062862e-05
1.812500e+01 5.719002e-05
1.828125e+01 5.469162e-05
1.843750e+01 5.018631e-05
1.859375e+01 4.365283e-05
1.875000e+01 4.112941e-05
1.890625e+01 3.841968e-05
1.906250e+01 3.569943e-05
1.921875e+01 3.153494e-05
