# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 1.935700e-01
2.009233e-15 nan
2.257020e-15 1.863459e-01
2.535364e-15 nan
2.848036e-15 1.570034e-01
3.199267e-15 1.399170e-01
3.593814e-15 1.346547e-01
4.037017e-15 1.878659e-01
4.534879e-15 1.750548e-01
5.094138e-15 2.472664e-01
5.722368e-15 2.506528e-01
6.428073e-15 1.966813e-01
7.220809e-15 1.915047e-01
8.111308e-15 1.951050e-01
9.111628e-15 1.773620e-01
1.023531e-14 2.490084e-01
1.149757e-14 3.167033e-01
1.291550e-14 2.694171e-01
1.450829e-14 2.761815e-01
1.629751e-14 3.115951e-01
1.830738e-14 2.724994e-01
2.056512e-14 2.789015e-01
2.310130e-14 3.349390e-01
2.595024e-14 3.671656e-01
2.915053e-14 4.094520e-01
3.274549e-14 3.490968e-01
3.678380e-14 4.962611e-01
4.132012e-14 5.052678e-01
4.641589e-14 5.123944e-01
5.214008e-14 5.370540e-01
5.857021e-14 5.654242e-01
6.579332e-14 6.696343e-01
7.390722e-14 5.926127e-01
8.302176e-14 6.666952e-01
9.326033e-14 7.535153e-01
1.047616e-13 7.537751e-01
1.176812e-13 8.062615e-01
1.321941e-13 7.500778e-01
1.484968e-13 9.214086e-01
1.668101e-13 1.002113e+00
1.873817e-13 1.007245e+00
2.104904e-13 1.132565e+00
2.364489e-13 1.183897e+00
2.656088e-13 1.078271e+00
2.983647e-13 1.368739e+00
3.351603e-13 1.459976e+00
3.764936e-13 1.345842e+00
4.229243e-13 1.371631e+00
4.750810e-13 1.530611e+00
5.336699e-13 1.433078e+00
5.994843e-13 1.538305e+00
6.734151e-13 1.873954e+00
7.564633e-13 1.823584e+00
8.497534e-13 1.950365e+00
9.545485e-13 1.815020e+00
1.072267e-12 1.975798e+00
1.204504e-12 2.032844e+00
1.353048e-12 2.149235e+00
1.519911e-12 2.154197e+00
1.707353e-12 2.289168e+00
1.917910e-12 2.342483e+00
2.154435e-12 2.446827e+00
2.420128e-12 2.484253e+00
2.718588e-12 2.515086e+00
3.053856e-12 2.941235e+00
3.430469e-12 2.814139e+00
3.853529e-12 2.666268e+00
4.328761e-12 2.932781e+00
4.862602e-12 2.940638e+00
5.462277e-12 2.953370e+00
6.135907e-12 3.214145e+00
6.892612e-12 3.250713e+00
7.742637e-12 3.403015e+00
8.697490e-12 3.383965e+00
9.770100e-12 3.582999e+00
1.097499e-11 3.283625e+00
1.232847e-11 3.446240e+00
1.384886e-11 4.102059e+00
1.555676e-11 3.896079e+00
1.747528e-11 3.900182e+00
1.963041e-11 4.012127e+00
2.205131e-11 4.372075e+00
2.477076e-11 4.171056e+00
2.782559e-11 4.323394e+00
3.125716e-11 4.174436e+00
3.511192e-11 4.370188e+00
3.944206e-11 4.829445e+00
4.430621e-11 4.882507e+00
4.977024e-11 4.892649e+00
5.590810e-11 4.890324e+00
6.280291e-11 5.417898e+00
7.054802e-11 5.433597e+00
7.924829e-11 5.440058e+00
8.902151e-11 6.144519e+00
1.000000e-10 5.918679e+00
