# mean_Gamma[s^-1]  lambda_mfp[h^-1_cMpc]
1.000000e-15 1.562500e-01
1.123324e-15 1.562500e-01
1.261857e-15 1.562500e-01
1.417474e-15 1.562500e-01
1.592283e-15 1.562500e-01
1.788650e-15 1.562500e-01
2.009233e-15 1.562500e-01
2.257020e-15 1.562500e-01
2.535364e-15 1.562500e-01
2.848036e-15 1.562500e-01
3.199267e-15 1.562500e-01
3.593814e-15 1.562500e-01
4.037017e-15 1.562500e-01
4.534879e-15 1.562500e-01
5.094138e-15 1.562500e-01
5.722368e-15 1.562500e-01
6.428073e-15 1.667395e-01
7.220809e-15 1.679323e-01
8.111308e-15 1.809867e-01
9.111628e-15 1.757424e-01
1.023531e-14 2.153488e-01
1.149757e-14 2.580757e-01
1.291550e-14 3.726144e-01
1.450829e-14 6.201196e-01
1.629751e-14 9.086860e-01
1.830738e-14 1.062490e+00
2.056512e-14 1.470316e+00
2.310130e-14 1.660747e+00
2.595024e-14 1.927050e+00
2.915053e-14 2.408992e+00
3.274549e-14 2.908405e+00
3.678380e-14 3.163720e+00
4.132012e-14 3.782801e+00
4.641589e-14 3.806013e+00
5.214008e-14 4.154390e+00
5.857021e-14 4.918001e+00
6.579332e-14 5.093292e+00
7.390722e-14 5.566451e+00
8.302176e-14 6.142992e+00
9.326033e-14 6.735219e+00
1.047616e-13 7.531573e+00
1.176812e-13 8.477278e+00
1.321941e-13 8.856986e+00
1.484968e-13 9.758457e+00
1.668101e-13 1.066984e+01
1.873817e-13 1.175416e+01
2.104904e-13 1.300609e+01
2.364489e-13 1.422966e+01
2.656088e-13 1.510231e+01
2.983647e-13 1.630337e+01
3.351603e-13 1.763787e+01
3.764936e-13 1.961138e+01
4.229243e-13 2.209652e+01
4.750810e-13 2.366070e+01
5.336699e-13 2.556397e+01
5.994843e-13 2.684529e+01
6.734151e-13 2.931315e+01
7.564633e-13 3.164003e+01
8.497534e-13 3.387781e+01
9.545485e-13 3.631254e+01
1.072267e-12 3.838084e+01
1.204504e-12 4.114127e+01
1.353048e-12 4.378957e+01
1.519911e-12 4.527529e+01
1.707353e-12 4.874860e+01
1.917910e-12 5.249787e+01
2.154435e-12 5.531317e+01
2.420128e-12 5.894639e+01
2.718588e-12 5.825123e+01
3.053856e-12 6.160434e+01
3.430469e-12 6.540650e+01
3.853529e-12 6.660696e+01
4.328761e-12 6.818140e+01
4.862602e-12 7.200630e+01
5.462277e-12 7.270995e+01
6.135907e-12 7.986660e+01
6.892612e-12 8.480520e+01
7.742637e-12 8.415514e+01
8.697490e-12 8.604343e+01
9.770100e-12 8.240414e+01
1.097499e-11 8.978461e+01
1.232847e-11 9.018172e+01
1.384886e-11 9.408538e+01
1.555676e-11 9.665937e+01
1.747528e-11 1.032657e+02
1.963041e-11 1.029817e+02
2.205131e-11 1.133289e+02
2.477076e-11 1.067760e+02
2.782559e-11 1.116198e+02
3.125716e-11 1.138324e+02
3.511192e-11 1.098750e+02
3.944206e-11 1.150530e+02
4.430621e-11 1.128145e+02
4.977024e-11 1.209591e+02
5.590810e-11 1.212419e+02
6.280291e-11 1.219201e+02
7.054802e-11 1.267883e+02
7.924829e-11 1.309987e+02
8.902151e-11 1.354203e+02
1.000000e-10 1.308371e+02
