# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 nan
9.111628e-15 nan
1.023531e-14 nan
1.149757e-14 1.582330e+00
1.291550e-14 2.635547e+00
1.450829e-14 3.480930e+00
1.629751e-14 2.938163e+00
1.830738e-14 3.166877e+00
2.056512e-14 3.113227e+00
2.310130e-14 2.320568e+00
2.595024e-14 4.246317e+00
2.915053e-14 4.371983e+00
3.274549e-14 3.150048e+00
3.678380e-14 3.235939e+00
4.132012e-14 4.097980e+00
4.641589e-14 3.865986e+00
5.214008e-14 4.982198e+00
5.857021e-14 5.625656e+00
6.579332e-14 5.241005e+00
7.390722e-14 5.589186e+00
8.302176e-14 7.072441e+00
9.326033e-14 6.501146e+00
1.047616e-13 8.170626e+00
1.176812e-13 7.838221e+00
1.321941e-13 8.964656e+00
1.484968e-13 8.311988e+00
1.668101e-13 9.366190e+00
1.873817e-13 9.142405e+00
2.104904e-13 1.111995e+01
2.364489e-13 1.059301e+01
2.656088e-13 1.154688e+01
2.983647e-13 1.248212e+01
3.351603e-13 1.423124e+01
3.764936e-13 1.349463e+01
4.229243e-13 1.470249e+01
4.750810e-13 1.464708e+01
5.336699e-13 1.638701e+01
5.994843e-13 1.440303e+01
6.734151e-13 1.722168e+01
7.564633e-13 1.836950e+01
8.497534e-13 2.107966e+01
9.545485e-13 1.880904e+01
1.072267e-12 1.788099e+01
1.204504e-12 1.936957e+01
1.353048e-12 2.188509e+01
1.519911e-12 2.120952e+01
1.707353e-12 2.154693e+01
1.917910e-12 2.256922e+01
2.154435e-12 2.595467e+01
2.420128e-12 2.450593e+01
2.718588e-12 2.601607e+01
3.053856e-12 2.696070e+01
3.430469e-12 2.867904e+01
3.853529e-12 2.686002e+01
4.328761e-12 2.904634e+01
4.862602e-12 3.013030e+01
5.462277e-12 2.973824e+01
6.135907e-12 3.349818e+01
6.892612e-12 2.932398e+01
7.742637e-12 3.197519e+01
8.697490e-12 3.255585e+01
9.770100e-12 3.444643e+01
1.097499e-11 3.457223e+01
1.232847e-11 3.531586e+01
1.384886e-11 3.513010e+01
1.555676e-11 3.589827e+01
1.747528e-11 3.467728e+01
1.963041e-11 3.642875e+01
2.205131e-11 3.886573e+01
2.477076e-11 3.906121e+01
2.782559e-11 4.242395e+01
3.125716e-11 3.878725e+01
3.511192e-11 4.181017e+01
3.944206e-11 3.894065e+01
4.430621e-11 4.066132e+01
4.977024e-11 4.300397e+01
5.590810e-11 4.662498e+01
6.280291e-11 4.320418e+01
7.054802e-11 4.674601e+01
7.924829e-11 4.559997e+01
8.902151e-11 4.595442e+01
1.000000e-10 4.601982e+01
