# mean_Gamma[s^-1]  lambda_mfp[phys_Mpc]
1.000000e-15 nan
1.123324e-15 nan
1.261857e-15 nan
1.417474e-15 nan
1.592283e-15 nan
1.788650e-15 nan
2.009233e-15 nan
2.257020e-15 nan
2.535364e-15 nan
2.848036e-15 nan
3.199267e-15 nan
3.593814e-15 nan
4.037017e-15 nan
4.534879e-15 nan
5.094138e-15 nan
5.722368e-15 nan
6.428073e-15 nan
7.220809e-15 nan
8.111308e-15 nan
9.111628e-15 nan
1.023531e-14 nan
1.149757e-14 1.743122e+00
1.291550e-14 2.179753e+00
1.450829e-14 2.227447e+00
1.629751e-14 2.498230e+00
1.830738e-14 1.643084e+00
2.056512e-14 2.413807e+00
2.310130e-14 3.654006e+00
2.595024e-14 3.606382e+00
2.915053e-14 3.187234e+00
3.274549e-14 2.984371e+00
3.678380e-14 3.720989e+00
4.132012e-14 4.536154e+00
4.641589e-14 4.070202e+00
5.214008e-14 4.535924e+00
5.857021e-14 4.669421e+00
6.579332e-14 4.948688e+00
7.390722e-14 5.595210e+00
8.302176e-14 5.930039e+00
9.326033e-14 5.419174e+00
1.047616e-13 6.524595e+00
1.176812e-13 6.828630e+00
1.321941e-13 7.257119e+00
1.484968e-13 7.294572e+00
1.668101e-13 8.522448e+00
1.873817e-13 8.422012e+00
2.104904e-13 8.817987e+00
2.364489e-13 9.368138e+00
2.656088e-13 1.033038e+01
2.983647e-13 1.031558e+01
3.351603e-13 1.154992e+01
3.764936e-13 1.174372e+01
4.229243e-13 1.280971e+01
4.750810e-13 1.399582e+01
5.336699e-13 1.528629e+01
5.994843e-13 1.514217e+01
6.734151e-13 1.588788e+01
7.564633e-13 1.636495e+01
8.497534e-13 1.804116e+01
9.545485e-13 1.922836e+01
1.072267e-12 2.087021e+01
1.204504e-12 2.354561e+01
1.353048e-12 2.277328e+01
1.519911e-12 2.296744e+01
1.707353e-12 2.629226e+01
1.917910e-12 2.799620e+01
2.154435e-12 2.886781e+01
2.420128e-12 3.138561e+01
2.718588e-12 3.326590e+01
3.053856e-12 3.610743e+01
3.430469e-12 3.662395e+01
3.853529e-12 4.082510e+01
4.328761e-12 4.421083e+01
4.862602e-12 4.885507e+01
5.462277e-12 4.907947e+01
6.135907e-12 5.136298e+01
6.892612e-12 5.604027e+01
7.742637e-12 5.675285e+01
8.697490e-12 6.499873e+01
9.770100e-12 6.275684e+01
1.097499e-11 6.603976e+01
1.232847e-11 7.268220e+01
1.384886e-11 7.620736e+01
1.555676e-11 7.375774e+01
1.747528e-11 8.421602e+01
1.963041e-11 8.927771e+01
2.205131e-11 8.809555e+01
2.477076e-11 9.703785e+01
2.782559e-11 1.052082e+02
3.125716e-11 1.014662e+02
3.511192e-11 1.030025e+02
3.944206e-11 1.097954e+02
4.430621e-11 1.145091e+02
4.977024e-11 1.263642e+02
5.590810e-11 1.167487e+02
6.280291e-11 1.254694e+02
7.054802e-11 1.344785e+02
7.924829e-11 1.277025e+02
8.902151e-11 1.414495e+02
1.000000e-10 1.440189e+02
